cycle,range_bin,doppler_bin,output_hex
1077225000,7,31,febefbb5
1082305000,8,0,011d019c
1082315000,8,1,0057fe8a
1082325000,8,2,002d0090
1082335000,8,3,fe9dffca
1082345000,8,4,ffea00ba
1082355000,8,5,02bdffa7
1082365000,8,6,fc7f00d7
1082375000,8,7,01eafef7
1082385000,8,8,00f5ffde
1082395000,8,9,fe3e009d
1082405000,8,10,009efe86
1082415000,8,11,ff4e03f4
1082425000,8,12,0128fbe1
1082435000,8,13,fdf2014e
1082445000,8,14,02270026
1082455000,8,15,ff79ff0e
1082465000,8,16,00050132
1082475000,8,17,017500ae
1082485000,8,18,fcf9fe94
1082495000,8,19,01d50088
1082505000,8,20,ff70004c
1082515000,8,21,ff81ffb5
1082525000,8,22,004bff97
1082535000,8,23,ff34ff69
1082545000,8,24,030d0264
1082555000,8,25,fe2eff6f
1082565000,8,26,ffa4fed2
1082575000,8,27,01a0ff56
1082585000,8,28,fe720189
1082595000,8,29,0060ff12
1082605000,8,30,007f0120
1082615000,8,31,fe51fe46
1087695000,9,0,017b004a
1087705000,9,1,ff97ffc1
1087715000,9,2,003d00a1
1087725000,9,3,0060ff3c
1087735000,9,4,fe14ffa4
1087745000,9,5,024b01ef
1087755000,9,6,fe3aff62
1087765000,9,7,01b4005e
1087775000,9,8,fddcfeb5
1087785000,9,9,036c00f4
1087795000,9,10,fd9dfefa
1087805000,9,11,fe4c00e9
1087815000,9,12,0362ff6c
1087825000,9,13,fe1b0034
1087835000,9,14,fff2ff71
1087845000,9,15,017b016c
1087855000,9,16,ff15ffc4
1087865000,9,17,00f9ff77
1087875000,9,18,fd930043
1087885000,9,19,0134ff8c
1087895000,9,20,013600b8
1087905000,9,21,fdc9feb1
1087915000,9,22,022c0102
1087925000,9,23,fee4ff6a
1087935000,9,24,00200171
1087945000,9,25,00e4fec0
1087955000,9,26,ff3b011a
1087965000,9,27,ff88fe9f
1087975000,9,28,01580024
1087985000,9,29,ff490050
1087995000,9,30,00e00063
1088005000,9,31,fdbdff1c
1093085000,10,0,0183ffbd
1093095000,10,1,ffd300a2
1093105000,10,2,ff3fffb2
1093115000,10,3,ffc0ff14
1093125000,10,4,ffd800ab
1093135000,10,5,0113023c
1093145000,10,6,ff88fda0
1093155000,10,7,00ae0111
1093165000,10,8,fed8fff4
1093175000,10,9,0120ffe5
1093185000,10,10,ff84fe6f
1093195000,10,11,fe23032d
1093205000,10,12,03c1fcc7
1093215000,10,13,fd1100c8
1093225000,10,14,0249ffe1
1093235000,10,15,ff34013d
1093245000,10,16,fecdff0b
1093255000,10,17,01870042
1093265000,10,18,fcc300ee
1093275000,10,19,02bcfe46
1093285000,10,20,ffe40199
1093295000,10,21,fff5fea8
1093305000,10,22,004e0124
1093315000,10,23,ff50fe69
1093325000,10,24,ffe40218
1093335000,10,25,00e6fe57
1093345000,10,26,ff0e0139
1093355000,10,27,ffd1fe31
1093365000,10,28,015701f1
1093375000,10,29,ff17ff94
1093385000,10,30,006d0023
1093395000,10,31,feceff51
1098475000,11,0,019bfebf
1098485000,11,1,005c039e
1098495000,11,2,ff29fc8f
1098505000,11,3,006601c2
1098515000,11,4,fe5cffb3
1098525000,11,5,032f0207
1098535000,11,6,fe9ffe05
1098545000,11,7,ff10ffe0
1098555000,11,8,01100085
1098565000,11,9,ff1d00a2
1098575000,11,10,00c3fe36
1098585000,11,11,ff3001f8
1098595000,11,12,010dfe7f
1098605000,11,13,00040015
1098615000,11,14,ff0700b1
1098625000,11,15,01c7ff2f
1098635000,11,16,fe1300ed
1098645000,11,17,ffc4016c
1098655000,11,18,00c1fd1b
1098665000,11,19,00ba0150
1098675000,11,20,004e0063
1098685000,11,21,fe4bfe4f
1098695000,11,22,0163023b
1098705000,11,23,fe4cfd88
1098715000,11,24,01be032f
1098725000,11,25,ffaffcc8
1098735000,11,26,ff830298
1098745000,11,27,00acfe16
1098755000,11,28,001500f3
1098765000,11,29,ffb60011
1098775000,11,30,00cf006f
1098785000,11,31,fd71fe99
1103865000,12,0,005d00bf
1103875000,12,1,ff9aff50
1103885000,12,2,0029003c
1103895000,12,3,008c00d4
1103905000,12,4,fde200a9
1103915000,12,5,03d3ff1b
1103925000,12,6,fddb0038
1103935000,12,7,00140067
1103945000,12,8,ff56fed3
1103955000,12,9,009e0152
1103965000,12,10,0036fd05
1103975000,12,11,fffc053c
1103985000,12,12,ffc9fb19
1103995000,12,13,012700fc
1104005000,12,14,feac026d
1104015000,12,15,00f3fd68
1104025000,12,16,ffc301bb
1104035000,12,17,ff6affe8
1104045000,12,18,ff5fff22
1104055000,12,19,0076ffe2
1104065000,12,20,0162ff91
1104075000,12,21,fe1b000f
1104085000,12,22,018901d6
1104095000,12,23,fe8efec3
1104105000,12,24,01fe004f
1104115000,12,25,fea6ff92
1104125000,12,26,ffda0079
1104135000,12,27,ff960026
1104145000,12,28,01d7ff21
1104155000,12,29,feeb005e
1104165000,12,30,003000e9
1104175000,12,31,ff5ffe66
1109255000,13,0,fde6009b
1109265000,13,1,031fff55
1109275000,13,2,fdb3ffa6
1109285000,13,3,017500e2
1109295000,13,4,fd3c00dd
1109305000,13,5,0553fde7
1109315000,13,6,fd8401fd
1109325000,13,7,feddfe17
1109335000,13,8,0117020d
1109345000,13,9,ff5afe1d
1109355000,13,10,006d0028
1109365000,13,11,ff3f024e
1109375000,13,12,0088fd73
1109385000,13,13,ffd3007e
1109395000,13,14,00bafffe
1109405000,13,15,ffcaffb2
1109415000,13,16,009800f3
1109425000,13,17,ff0dff31
1109435000,13,18,ff35004a
1109445000,13,19,00a9009e
1109455000,13,20,ff86fef7
1109465000,13,21,001500e7
1109475000,13,22,00eafef1
1109485000,13,23,fe0f013b
1109495000,13,24,036b00b5
1109505000,13,25,fd4efefd
1109515000,13,26,00e7fee4
1109525000,13,27,000f008a
1109535000,13,28,ffd60149
1109545000,13,29,0019feb4
1109555000,13,30,00cc0118
1109565000,13,31,ff66ff24
1114645000,14,0,fe2a0023
1114655000,14,1,02390082
1114665000,14,2,ffa2ffbd
1114675000,14,3,ffc90095
1114685000,14,4,feb3fffb
1114695000,14,5,0334ffb9
1114705000,14,6,fd870025
1114715000,14,7,feca001f
1114725000,14,8,01bfff9a
1114735000,14,9,01020077
1114745000,14,10,fee5fe8b
1114755000,14,11,006302de
1114765000,14,12,0108fe81
1114775000,14,13,fdeafe09
1114785000,14,14,01980155
1114795000,14,15,ff73ff81
1114805000,14,16,ff18010b
1114815000,14,17,01950024
1114825000,14,18,fe4afeb3
1114835000,14,19,00990137
1114845000,14,20,ff7ffff1
1114855000,14,21,0028ff27
1114865000,14,22,01c10149
1114875000,14,23,fe08fd3b
1114885000,14,24,01ef02a0
1114895000,14,25,fd10ff0b
1114905000,14,26,02c7006d
1114915000,14,27,fe77008a
1114925000,14,28,000effab
1114935000,14,29,003aff77
1114945000,14,30,004000a5
1114955000,14,31,002fff19
1120035000,15,0,fe90fee4
1120045000,15,1,00f50023
1120055000,15,2,00e7ffcd
1120065000,15,3,ff5cfe08
1120075000,15,4,fe9c0300
1120085000,15,5,02bdff2a
1120095000,15,6,fd65ff71
1120105000,15,7,01430185
1120115000,15,8,ffb0feb1
1120125000,15,9,0039017c
1120135000,15,10,ff10fd63
1120145000,15,11,ffed0228
1120155000,15,12,01f6feec
1120165000,15,13,fed3fffa
1120175000,15,14,00390010
1120185000,15,15,00aa0057
1120195000,15,16,fe5c000c
1120205000,15,17,0127ff0f
1120215000,15,18,ff510237
1120225000,15,19,fecefe12
1120235000,15,20,01ac01b6
1120245000,15,21,ff71fe90
1120255000,15,22,0085ffab
1120265000,15,23,00510163
1120275000,15,24,002000a3
1120285000,15,25,fef7fdda
1120295000,15,26,01ec0125
1120305000,15,27,fe41fed6
1120315000,15,28,009e01aa
1120325000,15,29,fe6bfe74
1120335000,15,30,02c100d8
1120345000,15,31,ff0200d9
1125425000,16,0,fff30004
1125435000,16,1,00ca00b7
1125445000,16,2,0009feb4
1125455000,16,3,ff4000a9
1125465000,16,4,fe9e0020
1125475000,16,5,04150180
1125485000,16,6,fd0ffed4
1125495000,16,7,001a0054
1125505000,16,8,0082ffe2
1125515000,16,9,ff89ffba
1125525000,16,10,016efea3
1125535000,16,11,ff24043b
1125545000,16,12,0093fb12
1125555000,16,13,ffa90197
1125565000,16,14,ff61009b
1125575000,16,15,0185fed5
1125585000,16,16,fdd10224
1125595000,16,17,024eff07
1125605000,16,18,fe53ff0e
1125615000,16,19,feea00f7
1125625000,16,20,0222febc
1125635000,16,21,ff790094
1125645000,16,22,ffe70166
1125655000,16,23,febafdcc
1125665000,16,24,039e0306
1125675000,16,25,fc6bfda0
1125685000,16,26,015e006b
1125695000,16,27,ffceff25
1125705000,16,28,ffd100da
1125715000,16,29,ffb50035
1125725000,16,30,01290153
1125735000,16,31,fee3fe43
1130815000,17,0,0200ff9a
1130825000,17,1,00f50030
1130835000,17,2,fda1ff30
1130845000,17,3,021c00e6
1130855000,17,4,fd11ffbf
1130865000,17,5,04220072
1130875000,17,6,fcd50137
1130885000,17,7,01e6fe11
1130895000,17,8,fe40002d
1130905000,17,9,00f201fa
1130915000,17,10,0075fcea
1130925000,17,11,fe6302f5
1130935000,17,12,0119fdd5
1130945000,17,13,003f0097
1130955000,17,14,0078003c
1130965000,17,15,fef8fe72
1130975000,17,16,011e02b0
1130985000,17,17,ff31feb4
1130995000,17,18,fec50050
1131005000,17,19,008a00d0
1131015000,17,20,013dfea9
1131025000,17,21,feeeffe4
1131035000,17,22,00a300ed
1131045000,17,23,ffb6fed3
1131055000,17,24,02020215
1131065000,17,25,fd70fe26
1131075000,17,26,01610086
1131085000,17,27,fe9fffd9
1131095000,17,28,00c9003f
1131105000,17,29,0041ff47
1131115000,17,30,01a401b8
1131125000,17,31,fc4cfede
1136205000,18,0,01feffd8
1136215000,18,1,fe580006
1136225000,18,2,0212ffaf
1136235000,18,3,fd92fff2
1136245000,18,4,001b01a5
1136255000,18,5,03a9ff63
1136265000,18,6,fc54ffdd
1136275000,18,7,027bfff4
1136285000,18,8,fdb2ff40
1136295000,18,9,016401d1
1136305000,18,10,ffbbfd9a
1136315000,18,11,005401d6
1136325000,18,12,fedaff9c
1136335000,18,13,00dbfe89
1136345000,18,14,00f7014a
1136355000,18,15,fee70001
1136365000,18,16,0026ffbe
1136375000,18,17,00e00160
1136385000,18,18,fe10fe53
1136395000,18,19,00e80100
1136405000,18,20,ffbdfe8d
1136415000,18,21,00bb0005
1136425000,18,22,ffbc022b
1136435000,18,23,ff4ffe10
1136445000,18,24,027a009a
1136455000,18,25,fd34009d
1136465000,18,26,0173ffdc
1136475000,18,27,fec2feb4
1136485000,18,28,00a600f2
1136495000,18,29,00d100b3
1136505000,18,30,00e1fe86
1136515000,18,31,fcff0087
1141595000,19,0,0021012c
1141605000,19,1,00c3ff4d
1141615000,19,2,ff92ff4e
1141625000,19,3,004d02b4
1141635000,19,4,ff26fd47
1141645000,19,5,0200027b
1141655000,19,6,feeefe4f
1141665000,19,7,007f0012
1141675000,19,8,fe9b0188
1141685000,19,9,002afe1b
1141695000,19,10,009a00eb
1141705000,19,11,017800d1
1141715000,19,12,fcdcfd6d
1141725000,19,13,01d4017f
1141735000,19,14,016ffed1
1141745000,19,15,fea50245
1141755000,19,16,feeffeac
1141765000,19,17,01350191
1141775000,19,18,ffe0fe58
1141785000,19,19,ff730066
1141795000,19,20,000effc7
1141805000,19,21,00d2ff13
1141815000,19,22,ff78022f
1141825000,19,23,fea3fd26
1141835000,19,24,02d903b8
1141845000,19,25,fdbefd37
1141855000,19,26,018800ff
1141865000,19,27,fed8000d
1141875000,19,28,0134001d
1141885000,19,29,ffa2ffe3
1141895000,19,30,001fff91
1141905000,19,31,feb1ff4b
1146985000,20,0,00c702ad
1146995000,20,1,00b1fea2
1147005000,20,2,fe9cfeff
1147015000,20,3,015e02a2
1147025000,20,4,fddbff96
1147035000,20,5,03deff90
1147045000,20,6,fd47ff73
1147055000,20,7,010100cb
1147065000,20,8,fea8ff1e
1147075000,20,9,008600e2
1147085000,20,10,00c9fee5
1147095000,20,11,fe510118
1147105000,20,12,017dff12
1147115000,20,13,ffea0038
1147125000,20,14,fff70049
1147135000,20,15,0099ffda
1147145000,20,16,fee500d3
1147155000,20,17,01330092
1147165000,20,18,fd56fd95
1147175000,20,19,01da0150
1147185000,20,20,00b9ff58
1147195000,20,21,fe0affe2
1147205000,20,22,01ad0203
1147215000,20,23,fe4ffde7
1147225000,20,24,035c0186
1147235000,20,25,fd5eff7e
1147245000,20,26,00ad000b
1147255000,20,27,ff67fee6
1147265000,20,28,00ff00cc
1147275000,20,29,0046012a
1147285000,20,30,ffadfecd
1147295000,20,31,fe87fe1c
1152375000,21,0,ffc300b9
1152385000,21,1,00fcff58
1152395000,21,2,fe8bfff4
1152405000,21,3,019a0111
1152415000,21,4,fdba009e
1152425000,21,5,019bfe54
1152435000,21,6,00a1011a
1152445000,21,7,ff71ffd8
1152455000,21,8,ff3cfecb
1152465000,21,9,00cf019c
1152475000,21,10,0050fdd8
1152485000,21,11,fec203a7
1152495000,21,12,00c0fc22
1152505000,21,13,ff18015d
1152515000,21,14,0184ff7e
1152525000,21,15,ff8e0185
1152535000,21,16,0061ff33
1152545000,21,17,0034ffb4
1152555000,21,18,fd310118
1152565000,21,19,02e4ff41
1152575000,21,20,feecfee6
1152585000,21,21,fee7004c
1152595000,21,22,013300b2
1152605000,21,23,ffbb00c8
1152615000,21,24,00b4ff85
1152625000,21,25,ffe10020
1152635000,21,26,00100030
1152645000,21,27,ff70fe5b
1152655000,21,28,01260296
1152665000,21,29,fee6fd33
1152675000,21,30,ff7c020a
1152685000,21,31,00a6feaf
1157765000,22,0,feb9feda
1157775000,22,1,0284fee4
1157785000,22,2,fd9101ba
1157795000,22,3,0140ff07
1157805000,22,4,feaaff8d
1157815000,22,5,01aa0133
1157825000,22,6,00b7001f
1157835000,22,7,ff8cffa1
1157845000,22,8,fe18002d
1157855000,22,9,01f2ff5a
1157865000,22,10,ff0cffed
1157875000,22,11,ffd5000b
1157885000,22,12,ff22ffe0
1157895000,22,13,022201cc
1157905000,22,14,fee9fca2
1157915000,22,15,00900305
1157925000,22,16,0057fef2
1157935000,22,17,fe68fef8
1157945000,22,18,01ab0232
1157955000,22,19,fd58fe15
1157965000,22,20,03700191
1157975000,22,21,fc9cff3b
1157985000,22,22,020dff4d
1157995000,22,23,ff360081
1158005000,22,24,010c00eb
1158015000,22,25,ffaeffba
1158025000,22,26,ff54ff7f
1158035000,22,27,00fb0091
1158045000,22,28,0010ff9e
1158055000,22,29,ff74ff8e
1158065000,22,30,0087ff5a
1158075000,22,31,ff8e0229
1163155000,23,0,010c0176
1163165000,23,1,fed0fd98
1163175000,23,2,000f02a3
1163185000,23,3,0013fed5
1163195000,23,4,0007ffd3
1163205000,23,5,00a401c4
1163215000,23,6,ff4afe87
1163225000,23,7,00a6017e
1163235000,23,8,fe9dfd45
1163245000,23,9,01e20281
1163255000,23,10,fdf9fdcf
1163265000,23,11,01660363
1163275000,23,12,008efdd5
1163285000,23,13,fe9dffaa
1163295000,23,14,0251feb4
1163305000,23,15,fe09029d
1163315000,23,16,003afec8
1163325000,23,17,00e8ff64
1163335000,23,18,fdb5021d
1163345000,23,19,0123fef3
1163355000,23,20,0095fe83
1163365000,23,21,ff3c01b2
1163375000,23,22,00ce001b
1163385000,23,23,004eff2e
1163395000,23,24,ffd1ffc5
1163405000,23,25,ffce0087
1163415000,23,26,ff970175
1163425000,23,27,001cfc65
1163435000,23,28,00020315
1163445000,23,29,005bfd94
1163455000,23,30,ff73035e
1163465000,23,31,fffbfd2f
1168545000,24,0,ff080061
1168555000,24,1,016c0044
1168565000,24,2,ff200089
1168575000,24,3,ff94ff96
1168585000,24,4,fde80107
1168595000,24,5,05f0ff96
1168605000,24,6,fbd5ff9b
1168615000,24,7,018d0048
1168625000,24,8,ff38fed7
1168635000,24,9,ffaa014d
1168645000,24,10,0071fd2b
1168655000,24,11,00b20543
1168665000,24,12,ff11fb4f
1168675000,24,13,006c01e6
1168685000,24,14,ffb8ffda
1168695000,24,15,0022fef7
1168705000,24,16,ffdc01c9
1168715000,24,17,0102fe20
1168725000,24,18,feb20161
1168735000,24,19,ffdaffb8
1168745000,24,20,0040ffeb
1168755000,24,21,fffcff36
1168765000,24,22,ffc70177
1168775000,24,23,fec9fdc6
1168785000,24,24,03380313
1168795000,24,25,ff44fe63
1168805000,24,26,fe7900df
1168815000,24,27,0128ff07
1168825000,24,28,ff430033
1168835000,24,29,ff5c00ba
1168845000,24,30,01a0ffb8
1168855000,24,31,ffb0fec3
1173935000,25,0,0250005a
1173945000,25,1,ffda006f
1173955000,25,2,ff1cff1f
1173965000,25,3,0095ffe9
1173975000,25,4,ff7801b3
1173985000,25,5,0112feb0
1173995000,25,6,fe97ff59
1174005000,25,7,01bb01c1
1174015000,25,8,fdb9fed6
1174025000,25,9,010000dc
1174035000,25,10,ffd7ff30
1174045000,25,11,feeb0224
1174055000,25,12,02eafc3a
1174065000,25,13,fe210267
1174075000,25,14,0123ff0a
1174085000,25,15,ffeeffdd
1174095000,25,16,fea001c4
1174105000,25,17,004efe83
1174115000,25,18,ff8601b1
1174125000,25,19,0043fe51
1174135000,25,20,014e00db
1174145000,25,21,fe92ff7c
1174155000,25,22,01370041
1174165000,25,23,fe6fff95
1174175000,25,24,02af0140
1174185000,25,25,ff44fe7e
1174195000,25,26,feff0204
1174205000,25,27,ffb1fcee
1174215000,25,28,01a801c4
1174225000,25,29,fe270141
1174235000,25,30,0237fdc8
1174245000,25,31,fccc0031
1179325000,26,0,ff6efe91
1179335000,26,1,005b023e
1179345000,26,2,00d0fe4c
1179355000,26,3,ffdd00f1
1179365000,26,4,fe7cffeb
1179375000,26,5,023e0090
1179385000,26,6,fef7ffd7
1179395000,26,7,ffd0ff2c
1179405000,26,8,008b0004
1179415000,26,9,ff660203
1179425000,26,10,00f3fd41
1179435000,26,11,fe6a0307
1179445000,26,12,01a1fc51
1179455000,26,13,ffca0224
1179465000,26,14,ff00fe6c
1179475000,26,15,01e30250
1179485000,26,16,fe44feef
1179495000,26,17,016f0086
1179505000,26,18,fe64fed2
1179515000,26,19,001b0201
1179525000,26,20,00d2fd15
1179535000,26,21,ff060160
1179545000,26,22,026100cf
1179555000,26,23,fdd6fd94
1179565000,26,24,0077037c
1179575000,26,25,ff80fd19
1179585000,26,26,0149017d
1179595000,26,27,ffb6ff87
1179605000,26,28,fe5501e7
1179615000,26,29,01fafd14
1179625000,26,30,0050008a
1179635000,26,31,fe9700b8
1184715000,27,0,021a00fd
1184725000,27,1,ffa50108
1184735000,27,2,fef8ff26
1184745000,27,3,01070155
1184755000,27,4,ffc4fffe
1184765000,27,5,0146ff7a
1184775000,27,6,fe5cffea
1184785000,27,7,0000ffaa
1184795000,27,8,0083fed9
1184805000,27,9,00a30246
1184815000,27,10,fee8fe48
1184825000,27,11,0133008c
1184835000,27,12,fead0006
1184845000,27,13,0205001f
1184855000,27,14,fd800022
1184865000,27,15,00faff9c
1184875000,27,16,ff1effe3
1184885000,27,17,024f00d8
1184895000,27,18,fd4efe60
1184905000,27,19,00d301cf
1184915000,27,20,00cafe12
1184925000,27,21,fe0e0184
1184935000,27,22,037affcc
1184945000,27,23,fdaa008a
1184955000,27,24,ff39ffcf
1184965000,27,25,011dff5a
